Entity,Code,Year,Wind
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.00021041035
Africa,,1994,0.0005495178
Africa,,1995,0.0006165677
Africa,,1996,0.0006773391
Africa,,1997,0.0006727282
Africa,,1998,0.00069997413
Africa,,1999,0.0017694286
Africa,,2000,0.015319227
Africa,,2001,0.03475124
Africa,,2002,0.03633041
Africa,,2003,0.041725438
Africa,,2004,0.05473679
Africa,,2005,0.05562183
Africa,,2006,0.05913356
Africa,,2007,0.06763805
Africa,,2008,0.08160963
Africa,,2009,0.09706143
Africa,,2010,0.13397382
Africa,,2011,0.13716418
Africa,,2012,0.13761933
Africa,,2013,0.18892832
Africa,,2014,0.25616866
Africa,,2015,0.43871924
Africa,,2016,0.533979
Africa,,2017,0.6276098
Africa,,2018,0.6667953
Africa,,2019,0.8437436
Africa,,2020,0.876065
Africa,,2021,0.96794415
Africa,,2022,1.0249515
Africa,,2023,1.1511537
Africa,,2024,1.1605582
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0.00021041035
Africa (EI),,1994,0.0005495178
Africa (EI),,1995,0.0006165677
Africa (EI),,1996,0.0006773391
Africa (EI),,1997,0.0006727282
Africa (EI),,1998,0.00069997413
Africa (EI),,1999,0.0017694286
Africa (EI),,2000,0.015319227
Africa (EI),,2001,0.03475124
Africa (EI),,2002,0.03633041
Africa (EI),,2003,0.041725438
Africa (EI),,2004,0.05473679
Africa (EI),,2005,0.05562183
Africa (EI),,2006,0.05913356
Africa (EI),,2007,0.06763805
Africa (EI),,2008,0.08160963
Africa (EI),,2009,0.09706143
Africa (EI),,2010,0.13397382
Africa (EI),,2011,0.13716418
Africa (EI),,2012,0.13761933
Africa (EI),,2013,0.18892832
Africa (EI),,2014,0.25616866
Africa (EI),,2015,0.43871924
Africa (EI),,2016,0.533979
Africa (EI),,2017,0.6276098
Africa (EI),,2018,0.6667953
Africa (EI),,2019,0.8437436
Africa (EI),,2020,0.876065
Africa (EI),,2021,0.96794415
Africa (EI),,2022,1.0249515
Africa (EI),,2023,1.1511537
Africa (EI),,2024,1.1605582
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.0004345378
Algeria,DZA,2015,0.007789901
Algeria,DZA,2016,0.007759173
Algeria,DZA,2017,0.007615825
Algeria,DZA,2018,0.003715528
Algeria,DZA,2019,0.0035654882
Algeria,DZA,2020,0.0029304666
Algeria,DZA,2021,0.003655301
Algeria,DZA,2022,0.005354802
Algeria,DZA,2023,0.0049749576
Algeria,DZA,2024,0.0051487195
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.0040812795
Argentina,ARG,1997,0.006109138
Argentina,ARG,1998,0.013118351
Argentina,ARG,1999,0.013777083
Argentina,ARG,2000,0.01383015
Argentina,ARG,2001,0.020037875
Argentina,ARG,2002,0.030876383
Argentina,ARG,2003,0.03041716
Argentina,ARG,2004,0.026338123
Argentina,ARG,2005,0.024407886
Argentina,ARG,2006,0.022460759
Argentina,ARG,2007,0.018973747
Argentina,ARG,2008,0.012676192
Argentina,ARG,2009,0.011429509
Argentina,ARG,2010,0.0075362916
Argentina,ARG,2011,0.007639923
Argentina,ARG,2012,0.1015366
Argentina,ARG,2013,0.11555377
Argentina,ARG,2014,0.1596808
Argentina,ARG,2015,0.14958201
Argentina,ARG,2016,0.13750124
Argentina,ARG,2017,0.15422341
Argentina,ARG,2018,0.35850498
Argentina,ARG,2019,1.3445249
Argentina,ARG,2020,2.7084808
Argentina,ARG,2021,3.3820562
Argentina,ARG,2022,3.4986777
Argentina,ARG,2023,3.546249
Argentina,ARG,2024,4.044281
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
